pk_gold,lat,lon,dias_evaluados,dias_optimos,pct_optimos,score_final,aggregated_at
4.099607|-75.299521,4.099607,-75.299521,3639,766,21.05,59.21,2026-04-14 09:57:56.419936-05
4.099607|-75.899524,4.099607,-75.899524,3643,0,0.0,59.19,2026-04-14 09:57:56.419936-05
5.199612|-75.499522,5.199612,-75.499522,3643,246,6.75,59.18,2026-04-14 09:57:56.419936-05
5.199612|-75.999524,5.199612,-75.999524,3643,124,3.4,57.3,2026-04-14 09:57:56.419936-05
4.499609|-75.299521,4.499609,-75.299521,3643,132,3.62,57.04,2026-04-14 09:57:56.419936-05
4.89961|-75.699523,4.89961,-75.699523,3643,59,1.62,56.27,2026-04-14 09:57:56.419936-05
4.199607|-75.799523,4.199607,-75.799523,3643,34,0.93,55.89,2026-04-14 09:57:56.419936-05
5.599614|-75.699523,5.599614,-75.699523,3643,106,2.91,55.87,2026-04-14 09:57:56.419936-05
4.099607|-75.799523,4.099607,-75.799523,3643,0,0.0,55.76,2026-04-14 09:57:56.419936-05
5.099611|-75.399521,5.099611,-75.399521,3643,0,0.0,55.65,2026-04-14 09:57:56.419936-05
5.599614|-75.299521,5.599614,-75.299521,3642,94,2.58,55.52,2026-04-14 09:57:56.419936-05
5.199612|-75.399521,5.199612,-75.399521,3643,0,0.0,55.46,2026-04-14 09:57:56.419936-05
4.599609|-75.599522,4.599609,-75.599522,3643,125,3.43,55.27,2026-04-14 09:57:56.419936-05
5.299612|-75.399521,5.299612,-75.399521,3643,0,0.0,55.15,2026-04-14 09:57:56.419936-05
4.69961|-75.599522,4.69961,-75.599522,3643,163,4.47,55.14,2026-04-14 09:57:56.419936-05
4.79961|-75.299521,4.79961,-75.299521,3642,0,0.0,55.06,2026-04-14 09:57:56.419936-05
5.199612|-75.299521,5.199612,-75.299521,3642,0,0.0,54.91,2026-04-14 09:57:56.419936-05
4.999611|-75.299521,4.999611,-75.299521,3642,0,0.0,54.61,2026-04-14 09:57:56.419936-05
5.299612|-75.299521,5.299612,-75.299521,3643,0,0.0,54.56,2026-04-14 09:57:56.419936-05
4.69961|-75.299521,4.69961,-75.299521,3642,0,0.0,54.48,2026-04-14 09:57:56.419936-05
